Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2024,,,,,,,,,
Cost values are in millions of dollars,,,,,,,,,
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,,,
Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,1980-04-17,2749.4,706.8,7,,,
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2236.2,590,13,,Begin Date,End Date
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,1980-11-30,40681.2,10020,1260,,19800410,19800417
Florida Freeze (January 1981),Freeze,1981-01-12,1981-01-14,2076.4,572,0,,19800807,19800811
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,1981-05-10,1409.1,401.4,20,,19800601,19801130
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,1982-01-16,2217.8,662,85,,19810112,19810114
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,1982-04-04,1604,483.2,33,,19810505,19810510
Severe Storms (June 1982),Severe Storm,1982-05-31,1982-06-10,1579,479.9,30,,19820108,19820116
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,4946.2,1536.1,45,,19820402,19820404
Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,1983-03-31,4828.7,1499.6,50,,19820531,19820610
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9450,3000,21,,19821201,19830115
Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,9574,2964.1,0,,19821213,19830331
Arizona Flooding (October 1983),Flooding,1983-09-29,1983-10-03,1252,400,14,,19830817,19830820
Freeze/Cold Wave (December 1983),Freeze,1983-12-15,1983-12-25,6479.5,2005.8,151,,19830601,19830831
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,1984-04-07,1851.6,603.1,80,,19830929,19831003
Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,1984-06-17,1356.4,446.2,1,,19831215,19831225
Florida Freeze (January 1985),Freeze,1985-01-20,1985-01-22,3588,1200,0,,19840327,19840407
